08:40',09:30',10:30,11:20,12:10,13:00,13:50,14:40
09:30',10:30,11:20,12:10,13:00,13:50,14:40,15:30
,,,,,,,
09:00,09:50,10:50,11:40,12:30,01:20,02:10,03:00
Chem,Chem,PPS,PPS,,Math,PPS Lab,PPS Lab
Chin,Chin,,,,ValEd,Mech Lab,Mech Lab
Math,Math,Chem,ValEd,,Chin,,
,ValEd,,,,Mech,,
,,Math,PPS,,Chem,Chem Lab,Chem Lab
